filename,video_id,true_shot,true_text,joint_wrong_count,shot_wrong_count,text_wrong_count,joint_wrong_models,shot_wrong_models,text_wrong_models,pred_summary
0030_cut_009.jpg,30,medium,1,7,7,3,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text","clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text","siglip2_single, dinov3_siglip2, clip_dinov2_shot_siglip2_text",clip_dinov2_focal:wide/1; dinov3_single:wide/1; siglip2_single:wide/0; clip_dinov3:wide/1; dinov3_siglip2:wide/0; cradiov4:wide/1; clip_dinov2_shot_siglip2_text:wide/0
0122_cut_001.jpg,122,close-up,1,7,7,3,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text","clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text","siglip2_single, dinov3_siglip2, clip_dinov2_shot_siglip2_text",clip_dinov2_focal:object/1; dinov3_single:object/1; siglip2_single:object/0; clip_dinov3:object/1; dinov3_siglip2:object/0; cradiov4:object/1; clip_dinov2_shot_siglip2_text:object/0
0019_cut_002.jpg,19,close-up,1,7,7,0,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text","clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text",,clip_dinov2_focal:medium/1; dinov3_single:medium/1; siglip2_single:medium/1; clip_dinov3:medium/1; dinov3_siglip2:medium/1; cradiov4:medium/1; clip_dinov2_shot_siglip2_text:medium/1
0056_cut_001.jpg,56,close-up,1,7,7,0,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text","clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text",,clip_dinov2_focal:object/1; dinov3_single:object/1; siglip2_single:object/1; clip_dinov3:object/1; dinov3_siglip2:object/1; cradiov4:object/1; clip_dinov2_shot_siglip2_text:object/1
0056_cut_018.jpg,56,close-up,1,7,7,0,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text","clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text",,clip_dinov2_focal:object/1; dinov3_single:object/1; siglip2_single:object/1; clip_dinov3:object/1; dinov3_siglip2:object/1; cradiov4:object/1; clip_dinov2_shot_siglip2_text:object/1
0097_cut_003.jpg,97,close-up,1,7,7,0,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text","clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text",,clip_dinov2_focal:object/1; dinov3_single:object/1; siglip2_single:wide/1; clip_dinov3:object/1; dinov3_siglip2:object/1; cradiov4:object/1; clip_dinov2_shot_siglip2_text:object/1
0097_cut_005.jpg,97,close-up,1,7,7,0,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text","clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text",,clip_dinov2_focal:object/1; dinov3_single:object/1; siglip2_single:object/1; clip_dinov3:object/1; dinov3_siglip2:object/1; cradiov4:object/1; clip_dinov2_shot_siglip2_text:object/1
0097_cut_008.jpg,97,medium,1,7,7,0,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text","clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text",,clip_dinov2_focal:wide/1; dinov3_single:object/1; siglip2_single:wide/1; clip_dinov3:wide/1; dinov3_siglip2:wide/1; cradiov4:space/1; clip_dinov2_shot_siglip2_text:wide/1
0106_cut_008.jpg,106,medium,0,7,7,0,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text","clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text",,clip_dinov2_focal:wide/0; dinov3_single:space/0; siglip2_single:space/0; clip_dinov3:space/0; dinov3_siglip2:space/0; cradiov4:wide/0; clip_dinov2_shot_siglip2_text:wide/0
0119_cut_001.jpg,119,close-up,1,7,7,0,"clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text","clip_dinov2_focal, dinov3_single, siglip2_single, clip_dinov3, dinov3_siglip2, cradiov4, clip_dinov2_shot_siglip2_text",,clip_dinov2_focal:medium/1; dinov3_single:medium/1; siglip2_single:medium/1; clip_dinov3:medium/1; dinov3_siglip2:medium/1; cradiov4:medium/1; clip_dinov2_shot_siglip2_text:medium/1
